Wavelength,Reflectance
400.000,0.926797
400.100,0.926782
400.200,0.926765
400.300,0.926750
400.400,0.926732
400.500,0.926717
400.600,0.926702
400.700,0.926687
400.800,0.926670
400.900,0.926655
401.000,0.926640
401.100,0.926625
401.200,0.926608
401.300,0.926592
401.400,0.926578
401.500,0.926563
401.600,0.926546
401.700,0.926531
401.800,0.926516
401.900,0.926502
402.000,0.926485
402.100,0.926471
402.200,0.926454
402.300,0.926439
402.400,0.926422
402.500,0.926406
402.600,0.926391
402.700,0.926374
402.800,0.926357
402.900,0.926344
403.000,0.926327
403.100,0.926311
403.200,0.926297
403.300,0.926281
403.400,0.926264
403.500,0.926251
403.600,0.926234
403.700,0.926220
403.800,0.926204
403.900,0.926188
404.000,0.926173
404.100,0.926158
404.200,0.926141
404.300,0.926127
404.400,0.926111
404.500,0.926096
404.600,0.926082
404.700,0.926067
404.800,0.926051
404.900,0.926038
405.000,0.926022
405.100,0.926007
405.200,0.925993
405.300,0.925978
405.400,0.925963
405.500,0.925949
405.600,0.925934
405.700,0.925918
405.800,0.925905
405.900,0.925890
406.000,0.925876
406.100,0.925862
406.200,0.925848
406.300,0.925833
406.400,0.925819
406.500,0.925804
406.600,0.925790
406.700,0.925776
406.800,0.925762
406.900,0.925749
407.000,0.925735
407.100,0.925720
407.200,0.925707
407.300,0.925692
407.400,0.925678
407.500,0.925666
407.600,0.925652
407.700,0.925638
407.800,0.925626
407.900,0.925612
408.000,0.925598
408.100,0.925586
408.200,0.925572
408.300,0.925558
408.400,0.925546
408.500,0.925532
408.600,0.925518
408.700,0.925506
408.800,0.925491
408.900,0.925478
409.000,0.925466
409.100,0.925453
409.200,0.925440
409.300,0.925429
409.400,0.925415
409.500,0.925402
409.600,0.925390
409.700,0.925378
409.800,0.925364
409.900,0.925353
410.000,0.925340
410.100,0.925329
410.200,0.925315
410.300,0.925302
410.400,0.925291
410.500,0.925278
410.600,0.925265
410.700,0.925255
410.800,0.925242
410.900,0.925230
411.000,0.925219
411.100,0.925207
411.200,0.925195
411.300,0.925184
411.400,0.925172
411.500,0.925159
411.600,0.925149
411.700,0.925136
411.800,0.925124
411.900,0.925114
