Wavelength,Reflectance
400.000,0.815386
400.100,0.815356
400.200,0.815329
400.300,0.815299
400.400,0.815272
400.500,0.815243
400.600,0.815215
400.700,0.815186
400.800,0.815157
400.900,0.815130
401.000,0.815101
401.100,0.815076
401.200,0.815050
401.300,0.815026
401.400,0.814999
401.500,0.814972
401.600,0.814948
401.700,0.814922
401.800,0.814898
401.900,0.814871
402.000,0.814847
402.100,0.814821
402.200,0.814798
402.300,0.814771
402.400,0.814747
402.500,0.814721
402.600,0.814698
402.700,0.814674
402.800,0.814653
402.900,0.814629
403.000,0.814609
403.100,0.814585
403.200,0.814564
403.300,0.814540
403.400,0.814519
403.500,0.814495
403.600,0.814475
403.700,0.814451
403.800,0.814430
403.900,0.814407
404.000,0.814386
404.100,0.814363
404.200,0.814343
404.300,0.814322
404.400,0.814303
404.500,0.814283
404.600,0.814264
404.700,0.814243
404.800,0.814225
404.900,0.814204
405.000,0.814186
405.100,0.814166
405.200,0.814148
405.300,0.814130
405.400,0.814109
405.500,0.814091
405.600,0.814070
405.700,0.814052
405.800,0.814033
405.900,0.814017
406.000,0.813999
406.100,0.813983
406.200,0.813965
406.300,0.813949
406.400,0.813931
406.500,0.813915
406.600,0.813897
406.700,0.813881
406.800,0.813863
406.900,0.813847
407.000,0.813829
407.100,0.813814
407.200,0.813796
407.300,0.813780
407.400,0.813764
407.500,0.813750
407.600,0.813734
407.700,0.813721
407.800,0.813705
407.900,0.813691
408.000,0.813676
408.100,0.813662
408.200,0.813646
408.300,0.813633
408.400,0.813617
408.500,0.813604
408.600,0.813591
408.700,0.813575
408.800,0.813563
408.900,0.813547
409.000,0.813535
409.100,0.813521
409.200,0.813510
409.300,0.813496
409.400,0.813485
409.500,0.813471
409.600,0.813460
409.700,0.813446
409.800,0.813435
409.900,0.813421
410.000,0.813410
410.100,0.813397
410.200,0.813386
410.300,0.813372
410.400,0.813361
410.500,0.813347
410.600,0.813338
410.700,0.813326
410.800,0.813317
410.900,0.813305
411.000,0.813296
411.100,0.813284
411.200,0.813275
411.300,0.813263
411.400,0.813254
411.500,0.813242
411.600,0.813233
411.700,0.813224
411.800,0.813212
411.900,0.813203
412.000,0.813192
412.100,0.813183
412.200,0.813173
412.300,0.813165
412.400,0.813155
412.500,0.813147
412.600,0.813137
412.700,0.813130
412.800,0.813120
412.900,0.813112
413.000,0.813102
413.100,0.813094
413.200,0.813085
413.300,0.813077
413.400,0.813067
413.500,0.813060
413.600,0.813050
413.700,0.813043
413.800,0.813034
413.900,0.813028
414.000,0.813019
414.100,0.813014
414.200,0.813005
414.300,0.812999
414.400,0.812990
414.500,0.812984
414.600,0.812976
414.700,0.812970
414.800,0.812961
414.900,0.812956
415.000,0.812950
415.100,0.812941
415.200,0.812935
415.300,0.812930
415.400,0.812923
415.500,0.812918
415.600,0.812914
415.700,0.812909
